cockroach sql --url=postgresql://root@54.186.70.223:26257?sslmode=disable
set database = NWHacks17;
DELETE FROM Hotspot;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Arbutus Ridge','4255 Arbutus St Vancouver BC V6J 4R1 Canada','Arbutus Shopping Centre',49.2487758,-123.1550158) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Hastings-Sunrise','2800 E 1st Ave Vancouver BC Canada','1st Avenue Marketplace',49.2687595,-123.0463234) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Hastings-Sunrise','2800 E 1st Ave Vancouver BC Canada','1st Avenue Marketplace',49.2687595,-123.0463234) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Hastings-Sunrise','2800 E 1st Ave Vancouver BC Canada','1st Avenue Marketplace',49.2687595,-123.0463234) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Hastings-Sunrise','2800 E 1st Ave Vancouver BC Canada','1st Avenue Marketplace',49.2687595,-123.0463234) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Killarney','54th & Kerr Street Vancouver BC V5S 1Z1 Canada','Champlain Square',49.2200464,-123.0400434) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Oakridge','650 W 41st Ave Vancouver BC V5Z 2M9 Canada','Oakridge Centre',49.2320488,-123.1186817) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Fairview','555 12th Avenue W Vancouver BC V5Z 3X7 Canada','City Square',49.2609344,-123.1161108) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Victoria-Fraserview','2611 E 49th Ave Vancouver BC V5S 1J9 Canada','Killarney Market',49.2256847,-123.0538468) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','370 E Broadway Vancouver BC V5T 4G5 Canada','BC Liquor Stores',49.2622465,-123.0971527) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','2949 Main St Vancouver BC V5T 3G4 Canada','Tisol Pet Nutrition & Supply Stores',49.2585549,-123.1014504) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','2949 Main St Vancouver BC V5T 3G4 Canada','Tisol Pet Nutrition & Supply Stores',49.2585549,-123.1014504) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','Kingsgate Mall 370 East Broadway Unit 101 Vancouver BC V5T 4G5 Canada','Payless ShoeSource',49.2621596,-123.0970087) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','180 E 15th Ave Vancouver BC V5T 4R3 Canada','Headache and Migraine Treatment Centers of Vancouver BC',49.2575051,-123.1018436) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','180 E 15th Ave Vancouver BC V5T 4R3 Canada','Headache and Migraine Treatment Centers of Vancouver BC',49.2575051,-123.1018436) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Fairview','2395 Cambie St Vancouver BC V5Z 2T9 Canada','BC Liquor Stores',49.2643891,-123.1152185) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','1 Kingsway Vancouver BC V5T 3H7 Canada','Vancouver Public Library Mount Pleasant Branch',49.26431,-123.10041) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','104 Broadway E Vancouver BC V5T 1V9 Canada','Mount Pleasant Optometry Centre',49.2628393,-123.1028098) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','127 W 5th Ave Vancouver BC V5Y 1H9 Canada','Rocanini Coffee Roasters',49.2666505,-123.1076901) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','127 W 5th Ave Vancouver BC V5Y 1H9 Canada','Rocanini Coffee Roasters',49.2666505,-123.1076901) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','370 E Broadway Vancouver BC V5T 4G5 Canada','Dollar Land',49.2623832,-123.0971025) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','112 E 7th Ave Vancouver BC V5T 1M6 Canada','Bikes For All',49.2645285,-123.1024186) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','112 E 7th Ave Vancouver BC V5T 1M6 Canada','Bikes For All',49.2645285,-123.1024186) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Oakridge','650 W 41st Ave #319 Vancouver BC V5Z 2M9 Canada','Oakridge Centre Administration',49.2332025,-123.1179051) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Fairview','555 12th Avenue W Vancouver BC V5Z 3X7 Canada','City Square',49.2609344,-123.1161108) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Fairview','555 12th Avenue W Vancouver BC V5Z 3X7 Canada','City Square',49.2609344,-123.1161108) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Dunbar-Southlands','6735 Salish Dr Vancouver BC V6N 4C4 Canada','Police Services',49.2249787,-123.1983959) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Dunbar-Southlands','6735 Salish Dr Vancouver BC V6N 4C4 Canada','Police Services',49.2249787,-123.1983959) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Dunbar-Southlands','4747 Dunbar St Vancouver BC V6S 2H2 Canada','Vancouver Community Police',49.2442194,-123.1852662) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','2120 Cambie St Vancouver BC V5Z 4N6 Canada','Vancouver Police Department',49.2665433,-123.1143119) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','2120 Cambie St Vancouver BC V5Z 4N6 Canada','Vancouver Police Department',49.2665433,-123.1143119) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Kerrisdale','6070 East Blvd Vancouver BC V6M 3V4 Canada','Kerrisdale Oakridge Marpole Community Policing Centre',49.2311167,-123.1549084) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Hastings-Sunrise','2625 Franklin St Vancouver BC V5K 3W7 Canada','Vancouver Community Police',49.2825241,-123.050642) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Hastings-Sunrise','2625 Franklin St Vancouver BC V5K 3W7 Canada','Vancouver Community Police',49.2825241,-123.050642) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','453 W 12th Ave Vancouver BC V5Y 1V4 Canada','Traffic & Transportation',49.2608024,-123.113944) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','453 W 12th Ave Vancouver BC V5Y 1V4 Canada','Traffic & Transportation',49.2608024,-123.113944) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','453 W 12th Ave Vancouver BC V5Y 1V4 Canada','Traffic & Transportation',49.2608024,-123.113944) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('South Cambie','657 37 AVE W Vancouver BC Canada','E Div SW District FIS/West Vanc',49.2377309,-123.11945) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Strathcona','110 Keefer St Vancouver BC Canada','Chinatown Police Committee Service Centre',49.2792917,-123.1014163) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','2120 Cambie St Vancouver BC V5Z 4N6 Canada','Vancouver Police Department',49.2665433,-123.1143119) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','2120 Cambie St Vancouver BC V5Z 4N6 Canada','Vancouver Police Department',49.2665433,-123.1143119) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','453 W 12th Ave Vancouver BC V5Y 1V4 Canada','Traffic & Transportation',49.2608024,-123.113944) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','453 W 12th Ave Vancouver BC V5Y 1V4 Canada','Traffic & Transportation',49.2608024,-123.113944) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','453 W 12th Ave Vancouver BC V5Y 1V4 Canada','Traffic & Transportation',49.2608024,-123.113944) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Dunbar-Southlands','6735 Salish Dr Vancouver BC V6N 4C4 Canada','Police Services',49.2249787,-123.1983959) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','2120 Cambie St Vancouver BC V5Z 4N6 Canada','Vancouver Police Department',49.2665433,-123.1143119) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','2120 Cambie St Vancouver BC V5Z 4N6 Canada','Vancouver Police Department',49.2665433,-123.1143119) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Dunbar-Southlands','6735 Salish Dr Vancouver BC V6N 4C4 Canada','Musqueam Indian Band',49.2249787,-123.1983959) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Marpole','1450 SW Marine Dr Vancouver BC V6P 5Z9 Canada','Musqueam Indian Band',49.2042456,-123.1395323) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Dunbar-Southlands','4010 Si Lu Dr Vancouver BC V6N 4K7 Canada','Musqueam Elders Ctr',49.2270722,-123.192006) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Dunbar-Southlands','4331 Staulo Crescent Vancouver BC V6N 3S3 Canada','Musqueam Field',49.230596,-123.2051984) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Dunbar-Southlands','Dunbar-Southlands Vancouver BC V6N 2B8 Canada','Musqueam Park',49.2296316,-123.1921129) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','2120 Cambie St Vancouver BC V5Z 4N6 Canada','Vancouver Police Department',49.2665433,-123.1143119) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','2120 Cambie St Vancouver BC V5Z 4N6 Canada','Vancouver Police Department',49.2665433,-123.1143119) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Dunbar-Southlands','6735 Salish Dr Vancouver BC V6N 4C4 Canada','Police Services',49.2249787,-123.1983959) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Hastings-Sunrise','3585 Graveley St Vancouver BC V5K 5J5 Canada','Vancouver Police Department',49.2706679,-123.025794) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Hastings-Sunrise','3585 Graveley St Vancouver BC V5K 5J5 Canada','Vancouver Police Department',49.2706679,-123.025794) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Fairview','1788 W 5th Ave Vancouver BC V6J 1P2 Canada','BDS PD Canada',49.2668372,-123.1451936) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Oakridge','657W 37 AVE Vancouver BC Canada','E Div Property & MGMT Sec Vanc',49.229994,-123.110128) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Dunbar-Southlands','4747 Dunbar St Vancouver BC V6S 2H2 Canada','Vancouver Community Police',49.2442194,-123.1852662) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','453 W 12th Ave Vancouver BC V5Y 1V4 Canada','Traffic & Transportation',49.2608024,-123.113944) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','453 W 12th Ave Vancouver BC V5Y 1V4 Canada','Traffic & Transportation',49.2608024,-123.113944) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','453 W 12th Ave Vancouver BC V5Y 1V4 Canada','Traffic & Transportation',49.2608024,-123.113944) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','2120 Cambie St Vancouver BC V5Z 4N6 Canada','Vancouver Police Department',49.2665433,-123.1143119) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','2120 Cambie St Vancouver BC V5Z 4N6 Canada','Vancouver Police Department',49.2665433,-123.1143119) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('South Cambie','5255 Heather St Vancouver BC Canada','E Div Ipoc Vanc',49.237809,-123.121777) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('South Cambie','5255 Heather St Vancouver BC Canada','E Div Ipoc Vanc',49.237809,-123.121777) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Fairview','Anderson St Vancouver BC V6H 3R5 Canada','Vancouver Community Police',49.2699766,-123.1369821) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Fairview','1687 W Broadway #78 Vancouver BC V6J 1X2 Canada','Kitsilano-Fairview Community Policing Centre',49.2638987,-123.1430641) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Arbutus Ridge','2490 W 37th Ave Vancouver BC V6M 1P5 Canada','St. Mary's Anglican Church Kerrisdale',49.2381838,-123.1622297) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Shaughnessy','5670 East Blvd Vancouver BC V6M 3Y2 Canada','Kerrisdale Play Palace',49.2352823,-123.1539879) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Shaughnessy','5670 East Blvd Vancouver BC V6M 3Y2 Canada','Kerrisdale Play Palace',49.2352823,-123.1539879) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Riley Park','3289 Main St Vancouver BC V5T 3G7 Canada','The General Public Sushi Lodge',49.2558665,-123.1016656) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Kerrisdale','7188 Macdonald St 7188 Macdonald St Vancouver BC V6N 1G2 Canada','McCleery Golf Course',49.2210511,-123.1678817) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Killarney','7110 Kerr St Vancouver BC V5S 4W2 Canada','Vancouver Public Library Champlain Heights Branch',49.219045,-123.03945) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Killarney','6260 Killarney St Vancouver BC V5S 2X7 Canada','Killarney Pool',49.2268638,-123.0436788) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Killarney','8500 Kinross St Vancouver BC V5S 4V9 Canada','Public Storage',49.2063709,-123.0363512) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Renfrew-Collingwood','2985 Kingsway Vancouver BC V5R 5J4 Canada','Vancouver Public Library Collingwood Branch',49.236202,-123.042684) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Riley Park','3289 Main St Vancouver BC V5T 3G7 Canada','The General Public Sushi Lodge',49.2558665,-123.1016656) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Riley Park','4575 Clancy Loranger Way Vancouver BC V5Y 2M4 Canada','Vancouver Public Library Terry Salman Branch',49.244104,-123.107783) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Riley Park','4501 Clancy Loranger Way Vancouver BC V5Y 2M4 Canada','Hillcrest Park',49.244852,-123.1086971) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Riley Park','3475 Main St Vancouver BC V5T 3E5 Canada','Slickity Jim's Chat 'n' Chew',49.2539856,-123.1010499) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Riley Park','4600 Cambie St Vancouver BC V5Y 2M9 Canada','Queen Elizabeth Park',49.241443,-123.1134795) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Riley Park','Cambie St Vancouver BC V5Y 2M4 Canada','Seasons in the Park',49.2419848,-123.1118624) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Riley Park','4342 Main St Vancouver BC V5V 3P9 Canada','Ogenki Sushi',49.2462607,-123.1009543) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Shaughnessy','5251 Oak St Vancouver BC V6M 4H1 Canada','Shaughnessy Restaurant',49.2386995,-123.1296129) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Shaughnessy','5251 Oak St Vancouver BC V6M 4H1 Canada','Shaughnessy Restaurant',49.2386995,-123.1296129) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('South Cambie','5655 Cambie St Vancouver BC V5Z 3A4 Canada','Timothy Ko Notary Public',49.233983,-123.1165763) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('South Cambie','5655 Cambie St Vancouver BC V5Z 3A4 Canada','Timothy Ko Notary Public',49.233983,-123.1165763) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('South Cambie','3357 Cambie St Vancouver BC V5Z 2W6 Canada','Flying Wedge Pizza Co',49.2555016,-123.1154328) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('South Cambie','700 W 16th Ave Vancouver BC V5Z 1S7 Canada','Jeremy Bohbot Barrister and Solicitor Notary Public',49.2569139,-123.1202059) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('South Cambie','700 W 16th Ave Vancouver BC V5Z 1S7 Canada','Jeremy Bohbot Barrister and Solicitor Notary Public',49.2569139,-123.1202059) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Arbutus Ridge','3860 Trafalgar St Vancouver BC V6L 2M4 Canada','Montessori Evergreen Preschool & Kindergarten',49.252205,-123.1650867) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Arbutus Ridge','2265 41 AVE W Vancouver BC Canada','Spanish Teaching Services',49.234743,-123.1589961) ON CONFLICT (Lat,Long) DO NOTHING;
